100th repetition:

Population size: 716
Timestamp: 89575
Number of classifiers in population covered :0
Number of classifiers in population ga-ed :716
Covers occured: 25
Number of subsumptions: 1270

0#1###1=>0#####1 total macro fit: 0.9532 fit: 0.4766 num: 2 exp: 25 cov: 12.5% of dataset tp: 162.5 msa: 175 ns: 53.7699 origin: ga  created: 88211  last in correctset: 89555  subsumptions: 2 
#0##01#=>#0##0## total macro fit: 0.9532 fit: 0.4766 num: 2 exp: 47 cov: 12.5% of dataset tp: 305.5 msa: 329 ns: 50.0427 origin: ga  created: 86906  last in correctset: 89437  subsumptions: 1 
11####1=>1#####1 total macro fit: 0.9532 fit: 0.4766 num: 2 exp: 183 cov: 12.5% of dataset tp: 1189.5 msa: 1281 ns: 44.2807 origin: ga  created: 79377  last in correctset: 89506  subsumptions: 5 
##1##10=>##1##1# total macro fit: 0.9532 fit: 0.4766 num: 2 exp: 62 cov: 12.5% of dataset tp: 403 msa: 434 ns: 42.634 origin: ga  created: 86176  last in correctset: 89277  subsumptions: 3 
##11#1#=>##1##1# total macro fit: 0.9532 fit: 0.4766 num: 2 exp: 68 cov: 12.5% of dataset tp: 442 msa: 476 ns: 44.3275 origin: ga  created: 85794  last in correctset: 89466  subsumptions: 1 
##100##=>##1#0## total macro fit: 0.9532 fit: 0.4766 num: 2 exp: 72 cov: 12.5% of dataset tp: 468 msa: 504 ns: 36.6157 origin: ga  created: 85616  last in correctset: 89237  subsumptions: 1 
10####1=>1#####1 total macro fit: 0.9532 fit: 0.4766 num: 2 exp: 74 cov: 12.5% of dataset tp: 481 msa: 518 ns: 52.0017 origin: ga  created: 85362  last in correctset: 89492  subsumptions: 1 
#00####=>#00#### total macro fit: 0.9532 fit: 0.4766 num: 2 exp: 78 cov: 25% of dataset tp: 507 msa: 546 ns: 62.8507 origin: ga  created: 87380  last in correctset: 89458  subsumptions: 1 
0###1##=>0###1## total macro fit: 0.9532 fit: 0.4766 num: 2 exp: 93 cov: 25% of dataset tp: 604.5 msa: 651 ns: 43.8471 origin: ga  created: 86958  last in correctset: 89555  subsumptions: 4 
0####01=>0#####1 total macro fit: 0.9532 fit: 0.4766 num: 2 exp: 100 cov: 12.5% of dataset tp: 650 msa: 700 ns: 54.4422 origin: ga  created: 83934  last in correctset: 89422  subsumptions: 5 
#1####0=>#1###0# total macro fit: 0.8562 fit: 0.2141 num: 4 exp: 138 cov: 25% of dataset tp: 828 msa: 966 ns: 63.8264 origin: ga  created: 85748  last in correctset: 89563  subsumptions: 5 
##11###=>##1#### total macro fit: 0.8163 fit: 0.4081 num: 2 exp: 113 cov: 25% of dataset tp: 723.2 msa: 791 ns: 49.0194 origin: ga  created: 86407  last in correctset: 89529  subsumptions: 3 
#1#####=>#1##### total macro fit: 0.8163 fit: 0.4081 num: 2 exp: 1700 cov: 50% of dataset tp: 10880 msa: 11900 ns: 72.3891 origin: ga  created: 65784  last in correctset: 89563  subsumptions: 75 
1#####1=>1###0#1 total macro fit: 0.7665 fit: 0.2555 num: 3 exp: 140 cov: 25% of dataset tp: 855 msa: 980 ns: 44.0401 origin: ga  created: 85649  last in correctset: 89506  subsumptions: 2 
#0#0###=>#0#0##0 total macro fit: 0.7655 fit: 0.2552 num: 3 exp: 79 cov: 25% of dataset tp: 482.4 msa: 553 ns: 43.6312 origin: ga  created: 87365  last in correctset: 89444  subsumptions: 2 
###1#0#=>###100# total macro fit: 0.7503 fit: 0.2501 num: 3 exp: 338 cov: 25% of dataset tp: 2059.8 msa: 2366 ns: 43.6482 origin: ga  created: 80054  last in correctset: 89371  subsumptions: 8 
##0##0#=>0#0##0# total macro fit: 0.7318 fit: 0.2439 num: 3 exp: 71 cov: 25% of dataset tp: 431.6 msa: 497 ns: 45.1325 origin: ga  created: 87553  last in correctset: 89415  subsumptions: 2 
######1=>####### total macro fit: 0.6974 fit: 0.3487 num: 2 exp: 4132 cov: 50% of dataset tp: 26031.6 msa: 28924 ns: 1 origin: ga  created: 31679  last in correctset: 0  subsumptions: 1 
######0=>####### total macro fit: 0.6974 fit: 0.3487 num: 2 exp: 3708 cov: 50% of dataset tp: 23360.4 msa: 25956 ns: 1 origin: ga  created: 37656  last in correctset: 0  subsumptions: 1 
##1#0##=>####### total macro fit: 0.6974 fit: 0.3487 num: 2 exp: 146 cov: 25% of dataset tp: 919.8 msa: 1022 ns: 1 origin: ga  created: 85513  last in correctset: 0  subsumptions: 1 
##1#0#1=>####### total macro fit: 0.6974 fit: 0.3487 num: 2 exp: 977 cov: 12.5% of dataset tp: 6155.1 msa: 6839 ns: 1 origin: ga  created: 34812  last in correctset: 0  subsumptions: 1 
#1#1###=>####### total macro fit: 0.6974 fit: 0.3487 num: 2 exp: 1345 cov: 25% of dataset tp: 8473.5 msa: 9415 ns: 1 origin: ga  created: 51889  last in correctset: 0  subsumptions: 2 
#0#0###=>####### total macro fit: 0.6974 fit: 0.3487 num: 2 exp: 2009 cov: 25% of dataset tp: 12656.7 msa: 14063 ns: 1 origin: ga  created: 33339  last in correctset: 0  subsumptions: 1 
1######=>1#1#### total macro fit: 0.6553 fit: 0.2184 num: 3 exp: 123 cov: 50% of dataset tp: 739.5 msa: 861 ns: 62.8441 origin: ga  created: 87892  last in correctset: 89541  subsumptions: 3 
#0#####=>#0#0### total macro fit: 0.6436 fit: 0.2145 num: 3 exp: 365 cov: 50% of dataset tp: 2190.5 msa: 2555 ns: 63.9291 origin: ga  created: 84425  last in correctset: 89458  subsumptions: 22 
1######=>1#0#### total macro fit: 0.6432 fit: 0.2144 num: 3 exp: 527 cov: 50% of dataset tp: 3162.5 msa: 3689 ns: 72.7021 origin: ga  created: 82198  last in correctset: 89541  subsumptions: 7 
#0#####=>#0##0## total macro fit: 0.6422 fit: 0.2141 num: 3 exp: 470 cov: 50% of dataset tp: 2820 msa: 3290 ns: 65.5522 origin: ga  created: 82962  last in correctset: 89458  subsumptions: 14 
#0#0###=>##10### total macro fit: 0.6422 fit: 0.2141 num: 3 exp: 192 cov: 25% of dataset tp: 1152 msa: 1344 ns: 53.5111 origin: ga  created: 84182  last in correctset: 89327  subsumptions: 4 
###1###=>##01### total macro fit: 0.6403 fit: 0.2134 num: 3 exp: 843 cov: 50% of dataset tp: 5056.5 msa: 5901 ns: 45.3641 origin: ga  created: 77762  last in correctset: 89551  subsumptions: 7 
#1####0=>#10#### total macro fit: 0.6377 fit: 0.2126 num: 3 exp: 361 cov: 25% of dataset tp: 2164.5 msa: 2527 ns: 70.3551 origin: ga  created: 79532  last in correctset: 89563  subsumptions: 6 
1######=>1####0# total macro fit: 0.6242 fit: 0.2081 num: 3 exp: 147 cov: 50% of dataset tp: 879.5 msa: 1029 ns: 66.3047 origin: ga  created: 87511  last in correctset: 89541  subsumptions: 2 
1######=>0###### total macro fit: 0.5971 fit: 0.0746 num: 8 exp: 5077 cov: 50% of dataset tp: 27415.8 msa: 35539 ns: 1 origin: ga  created: 18505  last in correctset: 0  subsumptions: 7 
#0#####=>#1##### total macro fit: 0.5971 fit: 0.0746 num: 8 exp: 3630 cov: 50% of dataset tp: 19602 msa: 25410 ns: 1 origin: ga  created: 38722  last in correctset: 0  subsumptions: 9 
101##1#=>1#1##1# total macro fit: 0.5552 fit: 0.5552 num: 1 exp: 20 cov: 6.25% of dataset tp: 132 msa: 140 ns: 45.7359 origin: ga  created: 87441  last in correctset: 89492  subsumptions: 0 
0####11=>0####11 total macro fit: 0.5552 fit: 0.5552 num: 1 exp: 16 cov: 12.5984% of dataset tp: 105.6 msa: 112 ns: 33.5024 origin: ga  created: 88680  last in correctset: 89555  subsumptions: 0 
##11#1#=>##11#1# total macro fit: 0.5552 fit: 0.5552 num: 1 exp: 68 cov: 12.5% of dataset tp: 448.8 msa: 476 ns: 35.4699 origin: ga  created: 85794  last in correctset: 89466  subsumptions: 0 
#0#0#0#=>#0#0#0# total macro fit: 0.5552 fit: 0.5552 num: 1 exp: 79 cov: 12.5% of dataset tp: 521.4 msa: 553 ns: 42.0333 origin: ga  created: 85111  last in correctset: 89444  subsumptions: 3 
##1##1#=>##1##10 total macro fit: 0.5051 fit: 0.2525 num: 2 exp: 126 cov: 25% of dataset tp: 768.6 msa: 882 ns: 34.9238 origin: ga  created: 86074  last in correctset: 89466  subsumptions: 3 
0#####1=>0##1##1 total macro fit: 0.5027 fit: 0.2514 num: 2 exp: 350 cov: 25% of dataset tp: 2134 msa: 2450 ns: 50.2811 origin: ga  created: 79748  last in correctset: 89555  subsumptions: 5 
0####0#=>0#0##0# total macro fit: 0.5021 fit: 0.251 num: 2 exp: 276 cov: 25% of dataset tp: 1682.6 msa: 1932 ns: 44.2008 origin: ga  created: 81834  last in correctset: 89450  subsumptions: 2 
#0##0##=>#01#0## total macro fit: 0.5001 fit: 0.2501 num: 2 exp: 83 cov: 25% of dataset tp: 505.8 msa: 581 ns: 49.9275 origin: ga  created: 87263  last in correctset: 89458  subsumptions: 2 
#0####0=>#0###10 total macro fit: 0.4968 fit: 0.2484 num: 2 exp: 149 cov: 25% of dataset tp: 907.4 msa: 1043 ns: 31.9106 origin: ga  created: 85433  last in correctset: 89444  subsumptions: 1 
#10##0#=>0#0##0# total macro fit: 0.4959 fit: 0.248 num: 2 exp: 45 cov: 12.5% of dataset tp: 274 msa: 315 ns: 46.8062 origin: ga  created: 87138  last in correctset: 89072  subsumptions: 1 
1####0#=>1####0# total macro fit: 0.4766 fit: 0.4766 num: 1 exp: 387 cov: 25% of dataset tp: 2515.5 msa: 2709 ns: 44.0145 origin: ga  created: 78691  last in correctset: 89541  subsumptions: 13 
