@relation DataFinal-weka.filters.unsupervised.attribute.Discretize-F-B3-M-1.0-R2-4-weka.filters.unsupervised.attribute.NumericToNominal-R9-weka.filters.unsupervised.attribute.Discretize-unset-class-temporarily-F-B3-M-1.0-R10-25-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R9-10-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R16-17

@attribute USERTESTIMONIALCOUNT {'Low','Medium','High'}
@attribute USERFAVORITEPHOTOCOUNT {'Low','Medium','High'}
@attribute USERGROUPCOUNT {'Low','Medium','High'}
@attribute Sex {Male,Female}
@attribute Status {Taken,Single}
@attribute ISPRO {Free,Pro}
@attribute USERTRAVELEDDISTANCE {'Low','Medium','High'}
@attribute USERGEOLOCATEDPHOTOS {'Low','Medium','High'}
@attribute ACTIVEWEEKS {'Low','Medium','High'}
@attribute PARTICIPATINGWEEKS {'Low','Medium','High'}
@attribute COMMENTSPERPHOTO {'Low','Medium','High'}
@attribute USERTAKENWITHCOUNT {'Low','Medium','High'}
@attribute PHOTOTAGPERPHOTO {'Low','Medium','High'}
@attribute USERREGIONCOUNT {'Low','Medium','High'}
@attribute CONTACTCOUNT {'Low','Medium','High'}
@attribute PHOTOCOUNT {'Low','Medium','High'}

@data
'Low','Low','Low',Male,Taken,Pro,'Low','Low','Low','High','Low','Medium','Low','Low','Low','Medium'
'High','High','High',Male,?,Pro,'Low','Medium','High','Medium','High','High','High','Medium','High','High'
'Low','Low','Low',?,?,Pro,'Medium','Low','Medium','Medium','Low','Medium','Low','Low','Low','Medium'
'Low','Medium','High',Female,?,Pro,'High','High','High','High','Low','Medium','High','High','Medium','High'
'Low','Medium','High',Male,Single,Pro,'Medium','Low','Medium','Medium','Medium','Medium','Medium','Medium','Low','Medium'
'Low','Medium','Medium',Female,?,Free,'Medium','Low','Low','High','High','High','High','Medium','Medium','Low'
'Low','High','High',?,?,Pro,'High','High','Medium','High','High','Medium','Low','High','High','High'
'Low','Medium','High',Male,Taken,Free,'High','Low','Low','Medium','High','Medium','Low','High','Medium','Low'
'Low','Low','Medium',Male,?,Pro,'High','Medium','High','High','Medium','High','High','Medium','Low','Medium'
'High','High','Medium',Female,Taken,Pro,'High','Medium','High','Medium','High','Medium','Medium','Medium','Medium','Medium'
'Medium','High','High',Male,?,Free,'Medium','Medium','Low','Medium','High','Low','High','High','High','Low'
'Low','Low','Low',?,?,Pro,'High','Medium','Low','Medium','Low','Medium','Medium','High','Low','Medium'
'Low','Medium','High',Male,Taken,Pro,'Medium','High','High','Medium','High','High','High','High','High','Medium'
'Low','Low','Low',?,?,Pro,'Medium','Low','Medium','Medium','Low','Medium','Low','Medium','Low','Low'
'Low','Low','High',Male,?,Pro,'Low','High','Medium','Medium','Medium','High','High','Low','Medium','Medium'
'Low','High','Medium',Male,Single,Pro,'High','High','High','Medium','Low','High','Low','Medium','High','High'
'Low','Medium','Low',Male,Taken,Pro,'Low','Low','Medium','High','Low','High','Low','Low','Low','Medium'
'Medium','High','High',Male,?,Free,'Medium','Medium','Medium','Medium','High','Medium','High','High','Medium','Medium'
'Low','Medium','High',Male,Taken,Pro,'Medium','Medium','High','Medium','High','High','Low','High','Medium','Medium'
'Low','Low','Low',Male,?,Pro,'High','High','Medium','Medium','Low','High','Medium','High','Medium','High'
'Low','Low','Low',Male,?,Pro,'Medium','High','Low','High','Low','Low','Medium','High','Low','Medium'
'Low','High','High',Male,Single,Pro,'High','High','High','Medium','High','High','High','High','High','High'
'Low','High','Medium',Male,Taken,Pro,'High','High','High','High','Medium','High','High','High','High','High'
'Low','Low','Low',Female,Single,Free,'Low','Low','Low','Low','Low','Low','Low','Low',?,'Low'
'High','High','Medium',Female,Taken,Pro,'High','Medium','High','Medium','High','High','Low','High','Medium','Medium'
'Medium','High','High',Male,Taken,Pro,'Medium','High','High','Medium','Medium','High','High','High','High','High'
'Low','Medium','Low',Male,Taken,Free,'Medium','Low','Low','Medium','Medium','Low','Medium','Medium','Low','Low'
'Low','High','High',Male,?,Free,'Low','Medium','Medium','Medium','High','High','Medium','Low','High','Low'
'Low','Medium','Low',Male,Taken,Pro,'High','High','Medium','Medium','Low','High','Medium','High','Low','High'
'Low','Medium','Medium',Male,?,Pro,'Low','Medium','Low','High','Medium','Medium','High','Low','Low','Medium'
'Low','High','High',Male,Taken,Pro,'Medium','Low','High','Medium','High','Low','High','Medium','High','Medium'
'Low','Low','Low',Male,?,Pro,'High','Medium','Medium','Medium','Medium','Medium','Medium','High','Medium','Medium'
'Low','Medium','Low',Male,?,Pro,'High','Medium','Medium','Medium','Medium','High','Low','High','Low','Low'
'Medium','High','Medium',Male,Taken,Pro,'Medium','High','High','Medium','Medium','High','Low','High','Medium','High'
'Low','Medium','Medium',Female,?,Pro,'High','High','High','Medium','Medium','Low','High','Medium','High','High'
'Low','Medium','Medium',Male,Single,Free,'Medium','Medium','Medium','Medium','Medium','Medium','Low','High','Low','Medium'
'Low','Low','Low',?,?,Free,'High','Low','Low','Low','Medium','Medium','Low','Medium','Low','Low'
'Medium','High','High',Male,Taken,Pro,'Medium','Low','Medium','Low','High','Low','High','Medium','High','Low'
'Medium','High','High',Male,?,Pro,'High','High','High','Medium','High','Medium','High','High','High','High'
'Low','Medium','Medium',Male,?,Pro,'Low','Low','Low','Medium','Low','Low','High','Low','High','Medium'
'Low','Medium','High',?,?,Pro,'High','High','High','Medium','Medium','High','Medium','High','High','High'
'Low','Low','Low',Male,Single,Free,'Low','Low','Low','Medium','Low','Low','Low','Low',?,'Low'
'Low','Low','Low',Male,?,Free,'Medium','Low','Medium','Medium','Low','Medium','Low','Low','Medium','Medium'
'Low','High','High',Male,Single,Pro,'High','High','High','Medium','Medium','Low','Medium','Medium','Low','High'
'High','High','High',Male,Taken,Pro,'Medium','Medium','High','Medium','High','High','High','Medium','High','Medium'
